latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
10.312,-63.448,315.6,2.3,1.5,2015-05-06, 15:15,T,64,5.0       ,296.7,32
10.309,-63.442,314.5,2.3,1.5,2015-05-06, 15:15,T,50,5.0       ,296,24.9
10.385,-63.575,318.5,2.2,1.4,2015-05-06, 15:15,T,70,5.0       ,299.4,34.3
10.274,-62.752,312,2.6,1.5,2015-05-06, 15:15,T,21,5.0       ,293.8,32.1
10.501,-63.318,325.5,2.3,1.5,2015-05-06, 15:15,T,71,5.0       ,294.6,73.4
10.498,-63.312,322.5,2.3,1.5,2015-05-06, 15:15,T,75,5.0       ,294,64.3
11.741,-70.191,325.5,1,1,2015-05-06, 15:15,T,72,5.0       ,305.2,11.8
-38.09,-72.015,322.9,2.6,1.6,2015-05-06, 15:25,T,76,5.0       ,288.4,121.9
-38.088,-72.044,323.2,2.6,1.6,2015-05-06, 15:25,T,76,5.0       ,289.1,122
-38.086,-72.007,312.1,2.6,1.6,2015-05-06, 15:25,T,18,5.0       ,288.2,64.1
-38.084,-72.037,334,2.6,1.6,2015-05-06, 15:25,T,86,5.0       ,289.9,176.3
-37.873,-72.751,318.1,2.3,1.5,2015-05-06, 15:25,T,69,5.0       ,286.7,85
-34.046,-71.665,313.6,2.5,1.5,2015-05-06, 15:25,T,58,5.0       ,296.7,52.5
-19.869,-69.346,322.5,2.4,1.5,2015-05-06, 15:20,T,75,5.0       ,304.8,48.6
-19.867,-69.367,327.9,2.4,1.5,2015-05-06, 15:20,T,81,5.0       ,303,73
-17.498,-71.356,322.4,1.6,1.2,2015-05-06, 15:20,T,0,5.0       ,301.8,21.2
-11.125,-75.354,310.5,1,1,2015-05-06, 15:20,T,37,5.0       ,296,9.1
-3.257,-79.956,311.1,2.5,1.5,2015-05-06, 15:20,T,25,5.0       ,290,23
42.283,-7.821,312.3,1,1,2015-05-06, 13:30,A,52,5.0       ,301.4,11
38.089,-7.863,317.4,1.1,1.1,2015-05-06, 13:30,A,58,5.0       ,305.6,9.1
-16.256,168.113,313.6,1,1,2015-05-06, 14:10,A,83,5.0       ,289.8,18.7
-16.255,168.104,330.3,1,1,2015-05-06, 14:10,A,100,5.0       ,290.2,39.9
-16.25,168.133,310.5,1,1,2015-05-06, 14:10,A,71,5.0       ,288.8,17
12.432,-15.249,316.2,2.9,1.6,2015-05-06, 15:00,A,49,5.0       ,292.9,26
12.222,-16.016,316.3,2.5,1.5,2015-05-06, 15:00,A,66,5.0       ,293.9,33.1
12.224,-15.993,321.2,2.5,1.5,2015-05-06, 15:00,A,74,5.0       ,293.4,54.5
12.317,-15.065,344.8,3,1.6,2015-05-06, 15:00,A,93,5.0       ,297,229.7
12.32,-15.037,346.4,3,1.7,2015-05-06, 15:00,A,93,5.0       ,294.7,247.7
12.302,-15.063,349,3,1.6,2015-05-06, 15:00,A,95,5.0       ,297.1,272.4
12.305,-15.035,329.8,3,1.7,2015-05-06, 15:00,A,83,5.0       ,294.9,102
12.318,-15.06,349.1,3,1.6,2015-05-06, 15:00,A,95,5.0       ,296.7,268.9
12.321,-15.032,336.6,3,1.7,2015-05-06, 15:00,A,88,5.0       ,294.3,150.3
12.303,-15.058,356.7,3,1.6,2015-05-06, 15:00,A,98,5.0       ,297.4,362.5
12.306,-15.031,323.5,3,1.7,2015-05-06, 15:00,A,76,5.0       ,294.5,56
12.202,-15.289,318.6,2.9,1.6,2015-05-06, 15:00,A,70,5.0       ,295.7,35.8
12.258,-14.797,320.7,3.1,1.7,2015-05-06, 15:00,A,73,5.0       ,295.9,43.1
12.261,-14.769,320.7,3.2,1.7,2015-05-06, 15:00,A,73,5.0       ,296.2,42.5
12.199,-15.281,322,2.9,1.6,2015-05-06, 15:00,A,75,5.0       ,295.8,51.5
12.258,-14.79,324.8,3.1,1.7,2015-05-06, 15:00,A,78,5.0       ,296.1,67.4
12.144,-15.248,318.3,2.9,1.6,2015-05-06, 15:00,A,69,5.0       ,295.4,32.5
12.124,-15.166,323.1,2.9,1.6,2015-05-06, 15:00,A,76,5.0       ,294.9,57
12.124,-15.161,322.4,2.9,1.6,2015-05-06, 15:00,A,75,5.0       ,294.9,51.3
12.02,-15.539,330.9,2.7,1.6,2015-05-06, 15:00,A,83,5.0       ,295.8,97.2
12.026,-14.844,320.9,3.1,1.7,2015-05-06, 15:00,A,71,5.0       ,295,37.5
12.044,-14.268,321.1,3.4,1.7,2015-05-06, 15:00,A,73,5.0       ,295.2,49.8
11.939,-14.797,325.1,3.1,1.7,2015-05-06, 15:00,A,78,5.0       ,293.4,77.6
11.938,-14.82,317,3.1,1.7,2015-05-06, 15:00,A,41,5.0       ,290.9,27.1
11.941,-14.792,321.2,3.1,1.7,2015-05-06, 15:00,A,66,5.0       ,293.5,54.1
11.654,-14.652,324.3,3.2,1.7,2015-05-06, 15:00,A,77,5.0       ,293.9,81.8
11.691,-14.042,327.4,3.5,1.8,2015-05-06, 15:00,A,81,5.0       ,295.1,93.4
11.679,-14.008,348.2,3.6,1.8,2015-05-06, 15:00,A,94,5.0       ,295.2,324.6
11.682,-13.976,334.6,3.6,1.8,2015-05-06, 15:00,A,86,5.0       ,293,172.1
11.642,-14.645,325,3.2,1.7,2015-05-06, 15:00,A,78,5.0       ,294.1,83.5
11.683,-14.036,324.3,3.5,1.8,2015-05-06, 15:00,A,56,5.0       ,294.9,62.6
11.687,-14.004,344.2,3.6,1.8,2015-05-06, 15:00,A,92,5.0       ,295,273.2
11.691,-13.971,323,3.6,1.8,2015-05-06, 15:00,A,18,5.0       ,292.7,65
11.671,-14.003,336.1,3.6,1.8,2015-05-06, 15:00,A,87,5.0       ,294.7,182.1
11.621,-14.157,324.1,3.4,1.7,2015-05-06, 15:00,A,77,5.0       ,293.9,75.6
11.581,-14.089,324.1,3.5,1.8,2015-05-06, 15:00,A,72,5.0       ,292.6,68.5
11.595,-13.962,323.8,3.6,1.8,2015-05-06, 15:00,A,77,5.0       ,293,91.9
11.609,-13.829,328,3.7,1.8,2015-05-06, 15:00,A,81,5.0       ,292.5,136.3
11.613,-13.797,336.5,3.7,1.8,2015-05-06, 15:00,A,88,5.0       ,292.2,218.9
11.558,-14.151,323.7,3.4,1.7,2015-05-06, 15:00,A,72,5.0       ,294.1,68.2
11.576,-13.992,328.4,3.6,1.8,2015-05-06, 15:00,A,77,5.0       ,294.1,107.9
11.579,-13.961,337.7,3.6,1.8,2015-05-06, 15:00,A,88,5.0       ,293.4,212.2
11.562,-14.144,325.8,3.4,1.7,2015-05-06, 15:00,A,79,5.0       ,293.9,89.4
